ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Język,"Jakie jest Twoje doświadczenie z techniką oświetleniową, realizacją sceny lub profesjonalną produkcją muzyczną?","Jak często bywasz na koncertach z profesjonalnym oświetleniem?
",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty),Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty),Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu),Adekwatność doboru efektów i kolorów do klimatu gatunku,"Ogólna estetyka, płynność i naturalność wizualna pokazu",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)2,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)2,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)2,Adekwatność doboru efektów i kolorów do klimatu gatunku2,"Ogólna estetyka, płynność i naturalność wizualna pokazu2",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)3,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)3,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)3,Adekwatność doboru efektów i kolorów do klimatu gatunku3,"Ogólna estetyka, płynność i naturalność wizualna pokazu3",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)4,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)4,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)4,Adekwatność doboru efektów i kolorów do klimatu gatunku4,"Ogólna estetyka, płynność i naturalność wizualna pokazu4",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)5,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)5,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)5,Adekwatność doboru efektów i kolorów do klimatu gatunku5,"Ogólna estetyka, płynność i naturalność wizualna pokazu5",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)6,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)6,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)6,Adekwatność doboru efektów i kolorów do klimatu gatunku6,"Ogólna estetyka, płynność i naturalność wizualna pokazu6","Czy zaakceptowałbyś/łabyś takie oświetlenie na prawdziwym koncercie w małym klubie?
","Dodatkowe uwagi dotyczące zachowania świateł (np. nienaturalne migotanie, wyjątkowo udane przejścia barw)"
1,2026-08-12 12:38:14,2026-08-12 12:49:04,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,2,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Raczej nie,
2,2026-08-12 12:39:46,2026-08-12 12:49:21,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Raczej tak,
3,2026-08-12 12:48:03,2026-08-12 12:50:42,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,3,2,4,4,2,2,1 - Bardzo słabe,3,4,3,2,3,2,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,Raczej tak,
4,2026-08-12 12:47:05,2026-08-12 12:52:28,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,4,3,4,2,2,4,3,2,2,2,2,2,2,2,2,2,3,2,1 - Bardzo słabe,2,4,3,3,3,3,4,4,3,4,3,Raczej nie,"Za szybko się zmieniają efekty, źle dobrane kolory do muzyki, lekko spóźnione efekty, wygląda to jak niepewny realizator światła który do końca nie wie jakie ma efekty, i zmienia za szybko na inny efekt "
5,2026-08-12 12:46:29,2026-08-12 12:57:02,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Rzadziej niż raz w roku,4,2,5 - Znakomite,3,4,1 - Bardzo słabe,2,2,3,3,5 - Znakomite,5 - Znakomite,4,4,5 - Znakomite,4,4,4,4,5 - Znakomite,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,4,5 - Znakomite,Tak,Zauważalne opóźnienia w przechodzeniu pomiędzy efektami
6,2026-08-12 13:00:26,2026-08-12 13:06:32,anonymous,,English (United Kingdom)‎,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Kilka razy w roku,2,3,2,1 - Bardzo słabe,2,2,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,2,3,2,3,2,3,1 - Bardzo słabe,2,2,2,3,2,2,3,2,2,3,2,Nie,It didn’t stick to its gut and over lit it
7,2026-08-12 13:05:56,2026-08-12 13:20:26,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,2,2,1 - Bardzo słabe,4,2,4,4,3,2,4,2,1 - Bardzo słabe,3,4,2,2,3,3,3,2,5 - Znakomite,4,4,3,4,3,3,5 - Znakomite,4,3,Raczej nie,"Na praktycznie wszystkich widać znaczące opóźnienie miedzy beatem a reakcją świateł. Wszystkie efekty też są bardzo łagodne, płynne (np. przy thunderstruck brakuje takich gwałtowniejszych ruchów świateł odpowiadających by dynamice danej piosenki)"
8,2026-08-12 13:22:26,2026-08-12 13:35:51,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,4,5 - Znakomite,3,4,4,4,3,3,3,4,3,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,3,4,4,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,3,4,4,Tak,"Prawidłowa reakcja na większość sygnałów, ale reakcja na powtarzalne sygnały (np. Uderzenia perkusji) potrafi być różna blisko siebie. Zadziwiająco dobrze wychodzą przejścia w refren albo zwrotkę."
9,2026-08-12 13:30:40,2026-08-12 13:39:13,anonymous,,English (United Kingdom)‎,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Rzadziej niż raz w roku,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,3,4,3,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,4,4,4,5 - Znakomite,4,1 - Bardzo słabe,2,2,3,3,Tak,
10,2026-08-12 14:19:51,2026-08-12 14:26:46,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Kilka razy w roku,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,2,3,3,3,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,3,3,3,4,3,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,Raczej tak,"Gubi się trochę jakby dopracować bardziej płynność tego, zdecydowanie poszedłbym w stronę mniej efektów więcej jakości żeby to dobrze działało. Jakby trochę dopracować to na jakieś małe imprezy tak zwane „bez budżetowe” używałbym tego."
